29719,486,592,513
29735,517,422,512
29751,511,420,510
29767,470,300,512
29783,584,305,515
29798,371,698,514
29814,324,199,513
29830,554,517,513
29846,346,425,512
29862,319,574,512
29877,463,568,506
29893,247,549,503
29909,460,575,508
29925,283,233,503
29941,364,582,507
29957,592,234,511
29972,307,590,512
29988,367,368,513
30004,438,262,516
30020,501,623,512
30036,354,630,513
30051,317,635,512
30067,404,614,513
30083,378,630,513
30099,326,325,512
30115,367,520,512
30131,345,637,512
30146,340,458,512
30162,338,646,512
30178,743,321,513
30194,332,668,512
30210,402,481,513
30225,358,616,502
30241,367,594,501
30257,425,638,443
30273,659,370,433
30289,747,332,478
30305,367,466,497
30320,739,658,494
30336,349,625,493
30352,462,260,493
30368,583,282,495
30384,549,565,520
30399,380,607,481
30415,329,570,493
30431,631,161,508
30447,737,636,517
30463,373,654,497
30479,443,650,509
30494,293,235,501
30510,745,568,507
30526,324,280,517
30542,334,618,504
30558,414,275,520
30573,510,320,514
30589,529,520,512
30605,334,646,512
30621,406,311,512
30637,275,600,513
30653,572,172,512
30668,393,572,508
30684,291,569,505
30700,436,269,505
30716,313,642,510
30732,512,613,511
30747,418,490,512
30763,497,446,513
30779,510,568,517
30795,503,442,513
30811,510,559,504
30827,460,615,493
30842,418,537,508
30858,428,400,518
30874,457,505,505
30890,548,447,507
30906,440,316,517
30921,377,644,505
30937,324,529,514
30953,347,540,514
30969,373,581,513
30985,305,406,512
31001,307,507,512
31016,749,263,512
31032,614,206,510
31048,624,619,496
31064,305,653,508
31080,327,468,509
31095,291,367,505
31111,345,246,522
31127,445,344,516
31143,490,591,479
31159,554,565,483
31175,452,541,530
31190,662,409,492
31206,463,447,501
31222,459,389,498
31238,461,598,494
31254,500,273,488
31269,476,499,482
31285,416,395,481
31301,474,378,485
31317,498,453,496
31333,420,369,506
31349,483,413,510
31364,485,258,511
31380,427,636,512
31396,706,616,506
31412,354,587,503
31428,430,253,502
31443,501,369,495
31459,495,258,498
31475,511,533,505
31491,513,571,505
31507,515,538,497
31522,481,521,491
31538,446,488,510
31554,439,652,516
31570,497,660,489
31586,518,132,487
31602,493,674,522
31617,425,293,511
31633,365,653,490
31649,366,670,491
31665,409,523,494
31681,448,508,496
31696,488,483,518
31712,458,680,515
31728,329,648,513
31744,317,533,512
31760,354,469,512
31776,382,475,513
31791,292,246,515
31807,551,649,513
31823,437,381,513
31839,440,242,512
31855,363,508,513
31870,500,678,516
31886,477,309,507
31902,469,672,504
31918,336,583,498
31934,376,315,485
31950,374,610,504
31965,496,373,489
31981,393,595,495
31997,355,582,499
32013,399,482,504
32029,397,238,503
32044,455,252,510
32060,430,685,509
32076,322,272,506
32092,503,359,507
32108,391,390,499
32124,489,303,491
32139,386,592,495
32155,434,615,495
32171,375,312,494
32187,469,238,491
32203,472,388,489
32219,505,512,476
32234,388,465,499
32250,447,372,511
32266,501,674,515
32282,512,432,509
32298,511,392,516
32313,516,552,513
32329,479,429,506
32345,505,634,506
32361,482,398,507
32377,495,589,517
32393,501,218,514
32408,512,660,506
32424,513,623,502
32440,509,520,500
32456,514,578,509
32472,513,523,513
32487,498,264,513
32503,454,542,513
32519,471,645,500
32535,341,626,511
32551,313,658,510
32567,498,593,505
32582,580,243,505
32598,329,469,510
32614,314,216,516
32630,601,657,516
32646,429,602,512
32661,304,448,502
32677,305,267,508
32693,352,544,491
32709,451,187,488
32725,503,611,479
32741,508,360,496
32756,518,630,508
32772,511,659,512
32788,508,656,508
32804,506,230,506
32820,510,532,509
32835,487,319,506
32851,507,288,505
32867,511,659,503
32883,514,672,503
32899,491,292,504
32915,377,603,503
32930,724,663,504
32946,414,168,505
32962,712,466,511
32978,578,533,516
32994,406,549,500
33010,320,683,505
33025,372,388,509
33041,401,285,516
33057,361,397,512
33073,459,484,517
33089,448,441,479
33104,492,661,492
33120,458,643,503
33136,508,372,495
33152,489,354,501
33168,508,569,509
36219,
37084,98,393,488
37094,232,489
37104,442,341,490
37114,353,533,489
37124,348,537,490
37134,361,376,489
37144,283,570,489
37154,500,346,489
37164,347,351,489
