5957,12,136
21737,511,1018,179
21750,511,6,202
21767,544,448,328
21783,506,505,136
21799,506,511,265
21815,510,511,226
21832,412,1018,186
21847,490,633,562
21862,508,528,325
21878,512,514,191
21892,509,6,240
21910,510,402,312
21926,605,498,734
21941,430,806,306
21957,484,549,262
21973,511,518,217
21989,508,514,360
22005,511,630,265
22020,443,753,221
22036,491,491,250
22052,508,578,246
22067,473,52,269
22084,506,435,261
22099,504,502,421
22115,510,512,386
22131,509,513,169
22147,626,513,172
22163,440,876,533
22179,687,524,388
22194,489,376,306
22210,510,883,199
22226,508,350,353
22242,511,205,537
22258,492,191,194
22273,510,809,320
22289,510,844,245
22305,396,717,194
22321,495,429,453
22336,450,17,308
22353,503,450,486
22368,487,504,447
22384,505,511,504
22400,512,422,529
22416,432,501,941
22432,469,511,421
22447,715,513,357
22463,488,514,491
22479,467,510,353
22495,495,509,491
22511,480,511,452
22527,644,513,535
22542,471,513,241
22558,398,512,198
22574,468,514,401
22590,437,512,336
22606,491,591,270
22621,477,667,333
22637,507,531,283
22653,482,515,284
22669,508,512,282
22685,511,513,339
22701,509,512,297
22716,437,512,322
22732,464,511,293
22748,507,503,292
22764,439,513,242
22780,433,512,326
22795,502,520,234
22811,510,514,256
22827,512,512,297
22843,508,512,254
22859,509,513,297
22875,467,513,261
22890,437,513,188
22906,479,512,168
22922,507,485,145
22938,511,427,165
22954,512,344,224
22970,511,490,241
22985,511,509,220
23001,398,512,205
23017,487,512,243
23033,512,513,256
23227,511,510,233
23237,514,511,258
23248,510,510,423
23258,511,511,376
23268,509,513,194
23278,510,513,219
23288,508,514,606
23298,513,513,223
23309,511,780,186
23320,511,546,238
23330,506,517,210
23340,508,513,210
23350,513,512,214
23360,511,498,807
23370,514,683,222
23381,519,6,217
23391,511,407,307
23401,507,499,355
23411,508,912,203
23422,474,657,185
23432,417,443,218
23442,498,464,170
23453,408,565,144
23463,497,547,460
23473,510,516,752
23483,508,6,247
23493,511,388,336
23503,509,496,207
23514,509,509,217
23525,510,513,221
23535,451,1018,225
23546,426,595,158
23556,416,473,187
23571,439,249,191
23586,612,427,202
23602,462,502,129
23618,502,512,209
23634,510,645,195
23650,511,760,405
23755,405,441,140
23765,488,217,205
23775,434,575,151
23785,501,306,130
23795,510,389,186
23805,491,497,184
23815,505,633,170
23825,510,694,184
23835,460,376,160
23845,446,331,175
24059,502,490,218
24069,482,510,276
24080,504,513,542
24092,485,512,272
24102,483,621,228
24113,466,497,289
24124,499,380,190
24134,473,488,274
24145,506,535,175
24156,512,475,153
24166,499,742,185
24176,495,582,257
24187,502,256,191
24197,508,484,225
24207,463,637,166
24217,408,523,180
24227,566,394,186
24237,470,580,210
24248,440,575,741
24258,403,463,183
24268,498,353,257
24278,501,372,774
24288,489,412,345
24299,510,464,210
24310,471,506,244
24321,489,511,246
24331,495,513,253
24342,509,513,247
24352,488,512,234
24362,463,511,229
24373,416,510,244
24383,499,512,471
24393,511,511,669
24403,494,513,213
24413,510,599,202
24423,509,238,181
24433,506,478,209
24443,509,508,193
24454,512,510,223
24464,511,510,216
24474,512,511,243
24484,508,511,678
24494,511,510,223
24505,511,511,202
24520,512,513,200
24536,505,512,171
24551,436,513,167
24567,500,513,733
24583,464,511,172
24599,480,513,301
24615,501,511,272
24630,510,513,211
24646,510,678,294
